S.No,STK1001,STK1002,STK1003,STK1004,STK1005,STK1006,STK1008,STK1009,STK1010,STK1011,STK1012,STK1013,STK1014,STK1015,STK1016,STK1017,STK1018,STK1019,STK1020,STK1021,STK1022,STK1023,STK1024,STK1026,STK1028,STK1029,STK1030,STK1031,STK1032,STK1033,STK1034,STK1035,STK1037,STK1038,STK1039,STK1040,STK1041,STK1042,STK1043,STK1044,STK1045,STK1047,STK1048,STK1050,STK1051,STK1053,STK1055,STK1057,STK1058,STK1060,STK1061,STK1062,STK1063,STK1064,STK1065,STK1066,STK1067,STK1068,STK1069,STK1070,STK1071,STK1072,STK1073,STK1074,STK1075,STK1076,STK1078,STK1079,STK1081,STK1082,STK1083,STK1084,STK1085,STK1087,STK1088,STK1089,STK1091,STK1092,STK1093,STK1094,STK1095,STK1096,STK1097,STK1098,STK1099
1582,0.01940055,0.03220323,0.01960432,0.01094322,0.00499699,0.00202499,0.02106021,-0.04065778,-0.02936320,0.00703835,0.00570383,-0.00149440,0.00623755,0.02288928,0.00598982,0.00329617,0.00748179,-0.00007983,0.00781801,0.00659089,0.07843170,0.01694668,0.00323878,-0.00041303,0.01163807,0.00661436,0.00424844,0.00533674,0.00123021,-0.00239693,-0.02871435,0.00558971,-0.00338684,0.01341612,-0.00214219,0.01102899,-0.00414605,-0.01795856,0.00975504,0.03352181,0.00635677,0.01359114,0.03496559,0.02240365,0.02015456,0.00608846,0.03598827,0.01217279,0.01567274,0.02124635,-0.00109402,-0.00877018,-0.01132131,0.01110403,0.01533399,0.02786298,0.03485790,0.02878010,0.00131033,0.01546766,0.01736493,0.01630534,0.01738952,0.01027378,-0.00772171,-0.00977057,0.02726008,0.01209788,-0.00776039,0.00462120,-0.00722365,0.01163168,0.02968961,0.00507758,0.01793187,0.02966072,-0.01103390,0.01465517,0.01269475,0.01085090,0.01727786,0.00261040,0.01603600,0.03038245,0.04727180
1583,0.01051636,0.00506769,-0.00070559,-0.02983772,-0.00925372,-0.00258675,-0.00224769,0.00236199,-0.02517443,-0.00521640,0.05222044,0.01995510,-0.00998709,0.01648131,0.00506103,-0.01166862,-0.01430526,-0.00858554,-0.00616894,-0.00564531,-0.00069377,-0.01059375,-0.00434153,-0.00814592,0.00645689,-0.01201117,-0.00541737,-0.01177570,-0.00016027,-0.00068532,-0.00561835,-0.00327667,-0.00451562,0.00228544,-0.01762154,-0.00734821,0.00711792,-0.00343857,-0.00461571,0.00579041,-0.00157916,-0.00729195,-0.01128698,-0.00111421,-0.01148593,-0.01373251,0.01129581,0.00150147,-0.00187031,-0.01732405,-0.02274932,0.00744018,-0.00524527,0.00358622,0.02912443,0.00595346,0.00750912,-0.00611513,-0.00910578,-0.00419659,-0.00932991,-0.00420623,-0.00390296,-0.03272355,0.01745009,0.00405251,-0.00122894,-0.00495789,-0.00269578,-0.00181311,-0.00573733,0.00174901,0.02555701,-0.01631926,-0.00170135,-0.01198510,0.00357706,-0.00424809,-0.00370370,0.01027106,0.03015598,-0.00765932,-0.01128818,0.02038614,-0.01887969
1584,-0.00298884,-0.00725744,-0.01977052,0.01634418,-0.01626394,-0.00318104,-0.00189938,-0.04813842,-0.00238749,-0.02062679,0.04383199,-0.00978234,-0.00085225,0.00692067,0.00059242,-0.01077500,0.00717713,-0.00162041,0.00602136,0.00652157,-0.02833129,-0.03202162,-0.00257156,0.00279712,-0.00212343,0.02461058,0.00118484,0.00601475,-0.00283180,0.02355047,-0.01388982,0.00443218,-0.00925926,0.03222637,-0.00942408,0.01419468,-0.01413522,-0.00266625,-0.02415615,-0.01795757,0.02451562,-0.01813751,-0.01188100,0.00594906,-0.00263744,0.00784684,0.00719821,0.00857114,-0.00213435,-0.00440737,-0.03141210,-0.01307385,0.00683253,-0.00708318,0.00493634,-0.00054735,0.01107325,-0.00304102,-0.00737358,-0.00368359,0.00421855,0.00615496,-0.00945786,-0.00083402,0.00587145,0.01974204,-0.00729927,0.00426592,-0.00116799,-0.00524740,0.01610002,0.01080634,0.02236422,-0.00543455,0.00564359,-0.00935704,-0.01752450,-0.00170648,0.00371747,0.00298120,-0.00925303,-0.00542866,-0.00063644,0.02533023,0.01098086
1585,-0.00960740,-0.00677974,-0.01206555,0.00431221,-0.00524327,-0.00333347,-0.00252257,0.01329750,-0.01033257,0.02078933,0.00769680,-0.00963201,0.01354315,0.00183278,-0.01095323,-0.00579368,-0.00811024,0.00863460,0.00376863,0.00480184,-0.01368178,-0.03025751,-0.02051340,-0.02670623,-0.01471454,0.00710860,0.01576788,-0.01097992,-0.01961099,-0.01585544,-0.00078442,-0.00429573,-0.00632493,0.03216027,0.00703190,0.00154257,-0.01149736,-0.01619752,0.00795668,-0.00466276,-0.01042069,0.02875479,0.00145149,-0.02310109,0.00176294,0.02174740,0.00169770,-0.00325575,-0.01142410,-0.00450593,-0.01386272,-0.01375265,0.00508962,-0.01411787,0.00093352,-0.00455723,-0.00303286,-0.03681634,0.00598703,0.00241258,-0.00585928,-0.00305865,-0.00685422,-0.01314382,-0.03310292,-0.01488556,0.00575630,-0.00292249,-0.01770739,0.00054103,0.00925527,-0.00124692,-0.01312500,-0.01698734,-0.00099459,-0.01078980,0.02802971,-0.00897436,-0.00341880,-0.01455682,-0.01816947,0.00734807,-0.00185857,-0.01183084,-0.02175811
1586,0.00441268,-0.00233645,-0.00893183,0.01781228,-0.00778764,0.00999307,-0.02213940,-0.00628228,-0.00153890,-0.01628865,-0.01363241,0.00099751,-0.00379569,-0.01450510,-0.01197246,0.00454541,-0.01532111,-0.01205790,-0.00390169,-0.00941172,0.00454679,-0.01638323,-0.00926986,-0.00207317,-0.00220568,0.00061321,0.00594270,-0.02178542,-0.00428729,0.00196678,0.00959110,-0.00927421,-0.01334790,0.01272740,-0.02213500,-0.02359128,-0.00218938,0.01566496,-0.01151190,-0.00535533,-0.00117005,-0.02615888,-0.00750157,-0.00340522,-0.00850590,-0.00372407,-0.00639659,-0.00965365,-0.00416863,0.00071468,0.00053638,-0.00246078,0.03522677,0.01216447,0.00097706,-0.01527670,-0.01998479,0.00051554,-0.00600650,-0.01859782,-0.00017783,-0.01022679,-0.01059264,-0.04038551,0.00436889,-0.01152939,-0.00795839,-0.01097440,-0.02703990,0.00953057,-0.00355993,-0.00105404,-0.01836605,-0.00747523,0.00894908,-0.01688313,-0.00840230,0.00517464,-0.00371641,-0.02003094,0.01054998,-0.00395197,-0.00944036,0.04014172,0.00678329
1587,0.00003631,-0.01490775,-0.01894427,-0.02068750,-0.01990907,-0.02883450,0.01061706,-0.06364147,-0.02960891,-0.02307756,-0.01891786,-0.00647733,-0.00567212,0.00434267,-0.01878219,-0.01647530,-0.02221058,-0.01039267,-0.01570467,-0.00926939,-0.01980791,-0.00715380,-0.01732702,-0.01985824,0.01275675,-0.06202652,-0.02116402,-0.03544638,0.00808699,-0.01659971,-0.01342168,0.00133306,-0.00707717,-0.00791367,-0.00382713,-0.01973684,-0.01343939,-0.03462386,-0.03072316,-0.00051629,-0.00468567,-0.02318092,-0.01584670,-0.00208808,-0.03211158,-0.03732245,-0.00002751,-0.02795040,-0.02082447,-0.01737819,-0.00712555,-0.00883955,-0.01439104,-0.00443061,-0.01020476,-0.01541892,0.00707049,0.02819286,-0.02017962,-0.02917383,-0.02320677,0.00388987,-0.01105308,0.03343224,0.02404302,-0.01528674,-0.03029920,-0.01619629,0.00594281,-0.01804426,-0.01257820,-0.02205581,-0.01548387,0.02467956,-0.01121254,-0.00458186,-0.00745668,-0.01287001,-0.05796270,-0.01231158,-0.00513435,-0.00597537,-0.01775925,0.02708110,-0.01879433
1588,-0.00319500,-0.01577234,-0.00881140,0.01429619,-0.02324332,-0.02075017,0.00659962,0.03113278,0.02087099,-0.01234436,-0.01598561,0.02457372,-0.00086694,0.01102420,0.00277864,0.00613443,0.02329225,-0.01523201,-0.00581895,-0.00950496,0.06796588,0.02144706,0.02680146,0.01695655,0.02114501,-0.01265013,-0.01394339,-0.00999315,0.00644915,-0.00707604,0.00047975,-0.00573931,-0.00295772,-0.02393038,-0.00651237,-0.00282586,-0.00194607,0.01075970,0.00286074,-0.00200297,0.01569243,0.00460128,0.00511329,0.00779912,-0.00915384,0.00564516,0.00951936,0.01228000,-0.00102819,0.02406525,-0.03212635,0.01877009,-0.00834352,-0.01982221,-0.02313020,0.00472699,-0.00496597,0.08218786,-0.00356456,0.00295256,0.01261608,0.00544893,0.00389515,0.00645092,-0.00610133,0.00035894,0.02229991,-0.01439630,-0.00834028,-0.01322787,-0.00977056,-0.01492725,0.04947575,-0.00411331,0.01296203,-0.00239097,-0.01020190,0.02564103,0.01858057,0.00327607,0.01823499,-0.00360677,-0.01743797,-0.00296637,0.03895916
1589,0.01336733,0.00619793,0.07471156,-0.00671353,0.03209519,0.00006370,0.03474421,0.01331393,0.01744428,0.02268753,0.12661184,0.12971121,-0.00511939,0.02654175,0.07943350,0.00914517,0.03831279,0.02547142,-0.00728799,0.01152831,0.06856523,0.05227042,0.04533486,0.06559186,0.08830602,0.04532143,-0.00147621,0.01375717,0.04929701,-0.01330537,-0.00462392,0.02240538,0.02849779,0.00341289,0.00839425,0.02845672,0.09136490,0.08919355,0.01346417,-0.01322503,0.05832368,0.00367859,0.05097257,0.12098905,0.00595330,0.01321691,0.06209631,0.03252609,0.02973997,0.05796073,0.01097126,0.04305782,0.00957424,0.02260292,0.03246530,0.05592759,0.05313428,0.15705213,0.03946397,0.03087793,0.00205508,0.09068465,0.05587598,0.02602022,0.06651643,0.03426624,0.06588645,-0.00071078,0.02610737,0.00355860,0.00508504,-0.01116570,0.06150484,0.00765710,0.02759570,0.04392255,0.01871658,0.08686441,0.04216507,0.06108633,0.07670215,-0.00231669,0.00868984,-0.01190077,0.10195492
1590,-0.06570340,-0.02405389,-0.16825062,0.00599339,-0.02775490,0.03086983,-0.07633621,-0.08192131,-0.08736487,-0.04745019,-0.23080389,-0.17547660,-0.00307000,-0.05664040,-0.11865374,-0.03520378,-0.04442634,-0.01684957,-0.00829245,0.05959502,-0.19312803,-0.11710597,-0.12473990,-0.12213082,-0.19996727,-0.12562462,-0.00907786,-0.00485807,-0.12159143,-0.01470855,-0.01596642,-0.04662262,-0.09201381,0.00052060,0.01669551,0.03210869,-0.15454313,-0.12350067,-0.01339788,-0.03756276,-0.15802920,-0.03783687,-0.02319666,-0.16400067,-0.00682264,-0.03458990,-0.12674647,-0.05870827,-0.04897685,-0.17024448,0.04584593,-0.13750366,-0.06738990,-0.02660761,-0.01713333,-0.05269793,-0.07570063,-0.17329903,-0.08024691,-0.06250793,-0.00093998,-0.14404019,-0.07485144,-0.05231442,-0.08633880,-0.08013877,-0.09901760,-0.00871328,-0.03459581,0.00702310,0.02600016,-0.00403278,-0.18235294,-0.01008822,-0.00950142,-0.12398269,0.01938871,-0.14346979,-0.08780488,-0.12902499,-0.19802291,0.03043848,0.00328125,-0.04884587,-0.21149658
1591,0.03435408,0.02681904,0.04739738,0.03207127,0.04488840,0.03381732,0.03471931,0.05865332,0.05468517,0.02147226,0.04780316,0.02548607,0.03642853,0.04628665,0.03074434,0.03636788,0.04636999,0.02404271,0.03080051,0.04264313,0.05919252,0.02954420,0.05805806,0.04331586,-0.02649345,0.04873841,0.01628917,0.02227064,0.01903675,0.04463208,0.04017904,0.04893312,0.04801333,0.04129135,0.05096596,0.05810375,0.02943396,0.00963001,0.03046902,0.01859679,0.05635024,0.03827912,0.06531540,0.04733132,0.02429800,0.06112224,0.00170428,0.05024925,0.02881958,0.07599713,0.06892003,0.04220412,0.07118096,0.08057245,0.06346515,0.01207868,0.04707182,0.00511792,0.04341629,0.02734719,0.01521631,0.01876935,0.01680056,0.06758814,0.00103668,0.08033189,0.05606671,0.02615434,0.05702561,0.02352056,0.03396247,0.01256843,0.01402878,0.01455231,0.03844594,0.02448940,0.07848837,0.04870278,0.06448569,0.00155119,0.01878302,0.03033746,0.00846569,0.06964548,0.08459106
